venue_id, venue_name                                                    , city,,
65, Bready                                                        , Derry,,
66, ICC Academy                                                   , Dubai,,
67, Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)       , Al Amarat,,
68, Amini Park                                                    , Port Moresby,,
69, Sportpark Maarschalkerweerd                                   , Utrecht,,
70, Manuka Oval                                                   , Canberra,,
71, Perth Stadium                                                 , Perth,,
72, Kyambogo Cricket Oval                                         , Kampala,,
73, Lugogo Cricket Oval                                           , Kampala,,
74, King George V Sports Ground                                   , Castel,,
75, College Field                                                 , St Peter Port,,
76, Kingsmead                                                     , Durban,,
77, St George's Park                                              , Port Elizabeth,,
78, Kinrara Academy Oval                                          , Kuala Lumpur,,
79," ""Punjab Cricket Association IS Bindra Stadium"," Mohali""        ", Chandigarh,
80," ""Rajiv Gandhi International Stadium"," Uppal""                   ", Hyderabad,
81, Hagley Oval                                                   , Christchurch,,
82," ""Providence Stadium"," Guyana""                                  ", Providence,
83, Indian Association Ground                                     , Singapore,,
84, Sportpark Westvliet                                           , The Hague,,
85, Zahur Ahmed Chowdhury Stadium                                 , Chattogram,,
86," ""White Hill Field"," Sandys Parish""                             ", Hamilton,
87, Bermuda National Stadium                                      , Hamilton,,
88, United Cricket Club Ground                                    , Windhoek,,
89, ICC Academy Ground No 2                                       , Dubai,,
90, La Manga Club Bottom Ground                                   , Murcia,,
91," ""National Cricket Stadium"," Grenada""                           ", St George's,
92, Desert Springs Cricket Ground                                 , Almeria,,
93, Tribhuvan University International Cricket Ground             , Kirtipur,,
94, Terdthai Cricket Ground                                       , Bangkok,,
95, Pierre Werner Cricket Ground                                  , Walferdange,,
96, Rawalpindi Cricket Stadium                                    , ,,
97, University Oval                                               , Dunedin,,
98, Sky Stadium                                                   , Wellington,,
99, Moara Vlasiei Cricket Ground                                  , ,,
100, Boland Park                                                   , Paarl,,
101," ""Trent Bridge"," Nottingham""                                    ", Nottingham,
102," ""Headingley"," Leeds""                                           ", Leeds,
103," ""Old Trafford"," Manchester""                                    ", Manchester,
104, Narendra Modi Stadium                                         , Ahmedabad,,
105," ""Sophia Gardens"," Cardiff""                                     ", Cardiff,
106," ""The Rose Bowl"," Southampton""                                  ", Southampton,
107," ""The Wanderers Stadium"," Johannesburg""                         ", Johannesburg,
108," ""SuperSport Park"," Centurion""                                  ", Centurion,
109," ""The Village", Malahide," Dublin""                               ", Dublin
110," ""Civil Service Cricket Club", Stormont," Belfast""               ", Belfast
111," ""Coolidge Cricket Ground"," Antigua""                            ", Coolidge,
112," ""Kensington Oval", Bridgetown," Barbados""                       ", Bridgetown
113, Wanderers                                                     , Windhoek,,
114," ""Wanderers Cricket Ground"," Windhoek""                          ", Windhoek,
115," ""R Premadasa Stadium"," Colombo""                                ", Colombo,
116," ""National Cricket Stadium", St George's," Grenada""              ", St George's
117," ""Manuka Oval"," Canberra""                                       ", Canberra,
118," ""Scott Page Field"," Vinor""                                     ", Prague,
119," ""National Sports Academy"," Sofia""                              ", Sofia,
120, Bayer Uerdingen Cricket Ground                                , Krefeld,,
121," ""Castle Avenue"," Dublin""                                       ", Dublin,
122," ""Svanholm Park"," Brondby""                                      ", Brondby,
123, Gucherre Cricket Ground                                       , Albergaria,,
124, Gahanga International Cricket Stadium. Rwanda                 , Kigali City,,
125, Kerava National Cricket Ground                                , Kerava,,
126," ""Grange Cricket Club Ground", Raeburn Place," Edinburgh""        ", Edinburgh
127," ""Zayed Cricket Stadium"," Abu Dhabi""                            ", Abu Dhabi,
128, Sharjah Cricket Stadium                                       , Sharjah,,
129, Entebbe Cricket Oval                                          , Entebbe,,
130," ""Moara Vlasiei Cricket Ground"," Ilfov County""                  ", Ilfov County,
131," ""Edgbaston"," Birmingham""                                       ", Birmingham,
132," ""County Ground"," Bristol""                                      ", Bristol,
133," ""Sawai Mansingh Stadium"," Jaipur""                              ", Jaipur,
134," ""Eden Gardens"," Kolkata""                                       ", Kolkata,
135," ""Himachal Pradesh Cricket Association Stadium"," Dharamsala""    ", Dharamsala,
136," ""Barabati Stadium"," Cuttack""                                   ", Cuttack,
137," ""M Chinnaswamy Stadium"," Bangalore""                            ", Bengaluru,
138, Happy Valley Ground                                           , Episkopi,,
139," ""ICC Academy"," Dubai""                                          ", Dubai,
140, Integrated Polytechnic Regional Centre                        , Kigali City,,
141, University of Lagos Cricket Oval                              , Lagos,,
142," ""West End Park International Cricket Stadium"," Doha""           ", Doha,
143," ""Sir Vivian Richards Stadium", North Sound," Antigua""           ", North Sound
144," ""National Stadium"," Karachi""                                   ", Karachi,
145," ""Gaddafi Stadium"," Lahore""                                     ", Lahore,
146," ""GMHBA Stadium", South Geelong," Victoria""                      ", Geelong
147," ""Bellerive Oval"," Hobart""                                      ", Hobart,
148," ""United Cricket Club Ground"," Windhoek""                        ", Windhoek,
149," ""College Field"," St Peter Port""                                ", St Peter Port,
150," ""Sportpark Westvliet"," The Hague""                              ", The Hague,
151," ""Queens Sports Club"," Bulawayo""                                ", Bulawayo,
152," ""Windsor Park", Roseau," Dominica""                              ", Roseau
153," ""Brian Lara Stadium", Tarouba," Trinidad""                       ", Tarouba
154," ""Warner Park", Basseterre," St Kitts""                           ", Basseterre
155," ""Sabina Park", Kingston," Jamaica""                              ", Kingston
156," ""Meersen"," Gent""                                               ", Ghent,
157," ""Royal Brussels Cricket Club Ground"," Waterloo""                ", Waterloo,
158, Tikkurila Cricket Ground                                      , Vantaa,,
159," ""Indian Association Ground"," Singapore""                        ", Singapore,
160, Bulawayo Athletic Club                                        , Bulawayo,,
161," ""UKM-YSD Cricket Oval"," Bangi""                                 ", Bangi,
162," ""Bay Oval"," Mount Maunganui""                                   ", Mount Maunganui,
163," ""McLean Park"," Napier""                                         ", Napier,
164," ""Hagley Oval"," Christchurch""                                   ", Christchurch,
165," ""Eden Park"," Auckland""                                         ", Auckland,
166," ""University Oval"," Dunedin""                                    ", Dunedin,
167," ""John Davies Oval"," Queenstown""                                ", Queenstown,
168, Lisicji Jarak Cricket Ground                                  , Belgrade,,
169," ""Greenfield International Stadium"," Thiruvananthapuram""        ", Thiruvananthapuram,
170," ""Barsapara Cricket Stadium"," Guwahati""                         ", Guwahati,
171," ""Holkar Cricket Stadium"," Indore""                              ", Indore,
172," ""Gymkhana Club Ground"," Nairobi""                               ", Nairobi,
173," ""Willowmoore Park"," Benoni""                                    ", Benoni,
174," ""Independence Park"," Port Vila""                                ", Port Vila,
175, Sano International Cricket Ground                             , Sano,,
176," ""Riverside Ground"," Chester-le-Street""                         ", Chester-le-Street,
177," ""Wankhede Stadium"," Mumbai""                                    ", Mumbai,
178," ""Narendra Modi Stadium"," Ahmedabad""                            ", Ahmedabad,
179," ""Zahur Ahmed Chowdhury Stadium"," Chattogram""                   ", Chattogram,
180," ""St Albans Club"," Buenos Aires""                                ", Buenos Aires,
181," ""Belgrano Athletic Club Ground"," Buenos Aires""                 ", Buenos Aires,
182," ""Hurlingham Club Ground"," Buenos Aires""                        ", Buenos Aires,
183," ""Mission Road Ground", Mong Kok," Hong Kong""                    ", Mong Kok
184, Santarem Cricket Ground                                       , Albergaria,,
185, Europa Sports Complex                                         , Gibraltar,,
186," ""Solvangs Park"," Glostrup""                                     ", Copenhagen,
187," ""Kingsmead"," Durban""                                           ", Durban,
188," ""Sportpark Het Schootsveld"," Deventer""                         ", Deventer,
189," ""Goldenacre"," Edinburgh""                                       ", Edinburgh,
190," ""Amini Park"," Port Moresby""                                    ", Port Moresby,
191," ""Bayuemas Oval"," Kuala Lumpur""                                 ", Kuala Lumpur,
192," ""Malahide"," Dublin""                                            ", Dublin,
193," ""Kennington Oval"," London""                                     ", London,
194," ""St George's Park"," Gqeberha""                                  ", Gqeberha,
195," ""Seddon Park"," Hamilton""                                       ", Hamilton,
196," ""Sky Stadium"," Wellington""                                     ", Wellington,
197," ""Shaheed Veer Narayan Singh International Stadium"," Raipur""    ", Raipur,
198," ""GB Oval"," Szodliget""                                          ", Szodliget,
199, Zhejiang University of Technology Cricket Field               , Hangzhou,,
200," ""National Stadium"," Hamilton""                                  ", Hamilton,
201," ""Tafawa Balewa Square Cricket Oval"," Lagos""                    ", Lagos,
202, Mulpani Cricket Ground                                        , Kathmandu,,
203, St Georges Quilmes                                            , ,,
204, Udayana Cricket Ground                                        , Bali,,
205," ""Grand Prairie Stadium"," Dallas""                               ", Dallas,
206," ""Nassau County International Cricket Stadium"," New York""       ", New York,
207," ""Arnos Vale Ground", Kingstown," St Vincent""                    ", Kingstown
208," ""Terdthai Cricket Ground"," Bangkok""                            ", Bangkok,
209, University of Doha for Science and Technology                 , Doha,,
210," ""Achimota Senior Secondary School A Field"," Accra""             ", Accra,
211, Prairie View Cricket Complex                                  , Houston,,
212, Los Reyes Polo Club                                           , Guacima,,
213, Dreux Sport Cricket Club                                      , Dreux,,
214, Roma Cricket Ground                                           , Spinaceto,,
215," ""Simar Cricket Ground"," Rome""                                  ", Rome,
216," ""Shrimant Madhavrao Scindia Cricket Stadium"," Gwalior""         ", Gwalior,
217," ""Guernsey Rovers Athletic Club Ground"," Port Soif""             ", Port  Soif,
218," ""Sikh Union Club Ground"," Nairobi""                             ", Nairobi,
219," ""Saxton Oval"," Nelson""                                         ", Nelson,
220," ""Mladost Cricket Ground"," Zagreb""                              ", Zagreb,
221," ""Faleata Oval No 2"," Apia""                                     ", Apia,
222," ""Selangor Turf Club"," Kuala Lumpur""                            ", Kuala Lumpur,
223," ""Gymkhana Club Ground"," Dar-es-Salaam""                         ", Dar-es-Salaam,
224, University of Dar-es-Salaam Ground                            , Dar-es-Salaam,,
225," ""Yeonhui Cricket Ground"," Incheon""                             ", Incheon,
226," ""Maple Leaf North-West Ground"," King City""                     ", King City,
227, Rangiri Dambulla International Stadium                        , Dambulla,,
228, Sao Fernando Polo and Cricket Club                            , Seropedica,,
229, Gelephu International Cricket Ground                          , Gelephu,,
230," ""Ruaraka Sports Club Ground"," Nairobi""                         ", Nairobi,
231," ""TCA Oval"," Blantyre""                                          ", Blantyre,
232, Jinja Cricket Ground                                          , Jinja,,
233," ""Nigeria Cricket Federation Oval 1"," Abuja""                    ", Abuja,
234," ""St George's College Ground"," Buenos Aires""                    ", Buenos Aires,
235, Singapore National Cricket Ground                             , Singapore,,
236," ""Namibia Cricket Ground"," Windhoek""                            ", Windhoek,
237, Kennington Oval                                               , London,,
238, Western Australia Cricket Association Ground                  , Perth,,
239, Brabourne Stadium                                             , Mumbai,,
240, Jade Stadium                                                  , Christchurch,,
241, Gymkhana Club Ground                                          , Nairobi,,
242, Trent Bridge                                                  , Nottingham,,
243, Maple Leaf North-West Ground                                  , King City,,
244, AMI Stadium                                                   , Christchurch,,
245, Providence Stadium                                            , Guyana,,
246," ""Beausejour Stadium"," Gros Islet""                              ", St Lucia,
247, OUTsurance Oval                                               , Bloemfontein,,
248, De Beers Diamond Oval                                         , Kimberley,,
249, Moses Mabhida Stadium                                         , Durban,,
250, Stadium Australia                                             , Sydney,,
251," ""Mahinda Rajapaksa International Cricket Stadium"," Sooriyawewa""", Hambantota,
252, Mombasa Sports Club Ground                                    , ,,
253, Subrata Roy Sahara Stadium                                    , Pune,,
254," ""Sardar Patel Stadium"," Motera""                                ", Ahmedabad,
255, ICC Global Cricket Academy                                    , Dubai,,
256, Wanderers Cricket Ground                                      , Windhoek,,
257, Queens Sports Club                                            , Bulawayo,,
258," ""Arnos Vale Ground"," Kingstown""                                ", St Vincent,
259, Sylhet Stadium                                                , ,,
260," ""Windsor Park"," Roseau""                                        ", Dominica,
261, P Sara Oval                                                   , Colombo,,
262, Feroz Shah Kotla                                              , Delhi,,
263," ""Mission Road Ground"," Mong Kok""                               ", Hong Kong,
264, Tony Ireland Stadium                                          , Townsville,,
265, Sheikh Abu Naser Stadium                                      , Khulna,,
266, Khan Shaheb Osman Ali Stadium                                 , Fatullah,,
