match_id, batter                       , bowler                , batter_team_id, bowler_team_id, wicket_kind          , fielder,
5, AR Patel                     , N Madziva             ,47,82, caught               , ['WP Masakadza'],
6, CJ Chibhabha                 , BB Sran               ,82,47, caught               , ['AT Rayudu'],
6, H Masakadza                  , BB Sran               ,82,47, bowled               , ,
6, Sikandar Raza                , BB Sran               ,82,47, caught               , ['KL Rahul'],
6, CT Mutombodzi                , BB Sran               ,82,47, lbw                  , ,
6, MN Waller                    , YS Chahal             ,82,47, caught               , ['AR Patel'],
6, PJ Moor                      , JJ Bumrah             ,82,47, caught               , ['AR Patel'],
6, E Chigumbura                 , JJ Bumrah             ,82,47, bowled               , ,
6, N Madziva                    , JJ Bumrah             ,82,47, bowled               , ,
6, AG Cremer                    , DS Kulkarni           ,82,47, caught               , ['AT Rayudu'],
7, Mandeep Singh                , DT Tiripano           ,47,82, caught               , ['T Maruma'],
7, KL Rahul                     , N Madziva             ,47,82, bowled               , ,
7, MK Pandey                    , N Madziva             ,47,82, run out              , ['E Chigumbura'],
7, AT Rayudu                    , AG Cremer             ,47,82, caught               , ['E Chigumbura'],
7, MS Dhoni                     , DT Tiripano           ,47,82, bowled               , ,
7, KM Jadhav                    , DT Tiripano           ,47,82, caught               , ['E Chigumbura'],
7, CJ Chibhabha                 , BB Sran               ,82,47, caught               , ['YS Chahal'],
7, H Masakadza                  , AR Patel              ,82,47, lbw                  , ,
7, V Sibanda                    , DS Kulkarni           ,82,47, lbw                  , ,
7, PJ Moor                      , YS Chahal             ,82,47, caught               , ['Mandeep Singh'],
7, MN Waller                    , DS Kulkarni           ,82,47, caught               , ['JJ Bumrah'],
7, E Chigumbura                 , BB Sran               ,82,47, caught               , ['YS Chahal'],
8, Imrul Kayes                  , MJ Henry              ,66,24, caught               , ['L Ronchi'],
8, Tamim Iqbal                  , BM Wheeler            ,66,24, caught               , ['TC Bruce'],
8, Sabbir Rahman                , LH Ferguson           ,66,24, caught               , ['MJ Henry'],
8, Soumya Sarkar                , LH Ferguson           ,66,24, caught               , ['CJ Anderson'],
8, Shakib Al Hasan              , C de Grandhomme       ,66,24, caught               , ['MJ Santner'],
8, Mosaddek Hossain             , MJ Santner            ,66,24, caught               , ['CJ Anderson'],
8, Mashrafe Mortaza             , BM Wheeler            ,66,24, caught               , ['C de Grandhomme'],
8, Mahmudullah                  , LH Ferguson           ,66,24, bowled               , ,
8, NT Broom                     , Rubel Hossain         ,24,66, caught               , ['Shakib Al Hasan'],
8, C Munro                      , Mustafizur Rahman     ,24,66, caught               , ['Nurul Hasan'],
8, CJ Anderson                  , Shakib Al Hasan       ,24,66, caught               , ['Tamim Iqbal'],
8, TC Bruce                     , Mashrafe Mortaza      ,24,66, run out              ," ""['Mashrafe Mortaza'"," 'Soumya Sarkar']"""
9, L Ronchi                     , Mashrafe Mortaza      ,24,66, caught               , ['Mosaddek Hossain'],
9, KS Williamson                , Shakib Al Hasan       ,24,66, caught               , ['Tamim Iqbal'],
9, CJ Anderson                  , Mosaddek Hossain      ,24,66, bowled               , ,
9, C Munro                      , Rubel Hossain         ,24,66, caught               , ['Nurul Hasan'],
9, C de Grandhomme              , Rubel Hossain         ,24,66, bowled               , ,
9, JDS Neesham                  , Rubel Hossain         ,24,66, bowled               , ,
9, MJ Santner                   , Rubel Hossain         ,24,66, run out              , ['Rubel Hossain'],
9, Imrul Kayes                  , MJ Santner            ,66,24, caught               , ['TC Bruce'],
9, Tamim Iqbal                  , C de Grandhomme       ,66,24, run out              ," ""['KS Williamson'"," 'C de Grandhomme']"""
9, Shakib Al Hasan              , BM Wheeler            ,66,24, caught               , ['JDS Neesham'],
9, Soumya Sarkar                , TA Boult              ,66,24, caught               , ['C Munro'],
9, Sabbir Rahman                , IS Sodhi              ,66,24, caught               , ['TA Boult'],
9, Mosaddek Hossain             , KS Williamson         ,66,24, caught               , ['MJ Santner'],
9, Mahmudullah                  , IS Sodhi              ,66,24, caught               , ['C de Grandhomme'],
9, Mashrafe Mortaza             , IS Sodhi              ,66,24, caught               , ['TA Boult'],
9, Nurul Hasan                  , KS Williamson         ,66,24, caught               , ['TA Boult'],
9, Rubel Hossain                , BM Wheeler            ,66,24, caught               , ['TC Bruce'],
10, JDS Neesham                  , Rubel Hossain         ,24,66, lbw                  , ,
10, C Munro                      , Rubel Hossain         ,24,66, caught               , ['Soumya Sarkar'],
10, TC Bruce                     , Mosaddek Hossain      ,24,66, caught               , ['Imrul Kayes'],
10, KS Williamson                , Rubel Hossain         ,24,66, bowled               , ,
10, Tamim Iqbal                  , TA Boult              ,66,24, caught               , ['C de Grandhomme'],
10, Soumya Sarkar                , IS Sodhi              ,66,24, caught and bowled    , ,
10, Sabbir Rahman                , KS Williamson         ,66,24, bowled               , ,
10, Mahmudullah                  , IS Sodhi              ,66,24, bowled               , ,
10, Mosaddek Hossain             , MJ Santner            ,66,24, caught               , ['C de Grandhomme'],
10, Shakib Al Hasan              , TA Boult              ,66,24, caught               , ['CJ Anderson'],
11, Q de Kock                    , TA Boult              ,10,24, caught               , ['MJ Santner'],
11, F du Plessis                 , C de Grandhomme       ,10,24, lbw                  , ,
11, HM Amla                      , BM Wheeler            ,10,24, caught               , ['TC Bruce'],
11, AB de Villiers               , C de Grandhomme       ,10,24, caught               , ['BM Wheeler'],
11, F Behardien                  , TA Boult              ,10,24, caught               , ['CJ Anderson'],
11, JP Duminy                    , TG Southee            ,10,24, run out              , ['L Ronchi'],
11, GD Phillips                  , CH Morris             ,24,10, caught               , ['Q de Kock'],
11, C Munro                      , CH Morris             ,24,10, bowled               , ,
11, KS Williamson                , AL Phehlukwayo        ,24,10, caught               , ['WD Parnell'],
11, CJ Anderson                  , AL Phehlukwayo        ,24,10, caught               , ['Q de Kock'],
11, TC Bruce                     , Imran Tahir           ,24,10, bowled               , ,
11, L Ronchi                     , Imran Tahir           ,24,10, caught               , ['Q de Kock'],
11, MJ Santner                   , AL Phehlukwayo        ,24,10, caught               , ['HM Amla'],
11, C de Grandhomme              , Imran Tahir           ,24,10, caught               , ['JP Duminy'],
11, BM Wheeler                   , Imran Tahir           ,24,10, bowled               , ,
11, TG Southee                   , Imran Tahir           ,24,10, bowled               , ,
12, JT Smuts                     , DJ Willey             ,10,64, bowled               , ,
12, RR Hendricks                 , MA Wood               ,10,64, caught               , ['DJ Willey'],
12, DA Miller                    , MA Wood               ,10,64, caught               , ['JC Buttler'],
12, JJ Roy                       , AL Phehlukwayo        ,64,10, lbw                  , ,
13, RR Hendricks                 , TK Curran             ,10,64, bowled               , ,
13, M Mosehle                    , LE Plunkett           ,10,64, caught               , ['JC Buttler'],
13, JT Smuts                     , LA Dawson             ,10,64, caught               , ['LE Plunkett'],
13, DA Miller                    , LE Plunkett           ,10,64, caught               , ['JC Buttler'],
13, AB de Villiers               , DJ Willey             ,10,64, caught               , ['EJG Morgan'],
13, CH Morris                    , TK Curran             ,10,64, caught               , ['JJ Roy'],
13, AL Phehlukwayo               , TK Curran             ,10,64, bowled               , ,
13, F Behardien                  , CJ Jordan             ,10,64, lbw                  , ,
13, SW Billings                  , CH Morris             ,64,10, caught               , ['DA Miller'],
13, JM Bairstow                  , CH Morris             ,64,10, caught               , ['F Behardien'],
13, JJ Roy                       , CH Morris             ,64,10, obstructing the field, ,
13, JC Buttler                   , AL Phehlukwayo        ,64,10, bowled               , ,
13, EJG Morgan                   , D Paterson            ,64,10, caught               , ['AB de Villiers'],
13, LS Livingstone               , AL Phehlukwayo        ,64,10, run out              ," ""['M Morkel'", 'M Mosehle'
14, JJ Roy                       , M Morkel              ,64,10, caught               , ['M Mosehle'],
14, AD Hales                     , AL Phehlukwayo        ,64,10, caught               , ['DA Miller'],
14, DJ Malan                     , Imran Tahir           ,64,10, caught               , ['D Paterson'],
14, SW Billings                  , D Paterson            ,64,10, caught               , ['AB de Villiers'],
14, LS Livingstone               , D Paterson            ,64,10, bowled               , ,
14, LE Plunkett                  , AL Phehlukwayo        ,64,10, caught               , ['DA Miller'],
14, JC Buttler                   , D Paterson            ,64,10, caught               , ['JT Smuts'],
14, DJ Willey                    , D Paterson            ,64,10, bowled               , ,
14, RR Hendricks                 , TK Curran             ,10,64, caught               , ['LE Plunkett'],
14, CH Morris                    , CJ Jordan             ,10,64, caught               , ['AD Hales'],
14, JT Smuts                     , LE Plunkett           ,10,64, caught               , ['DJ Malan'],
14, AB de Villiers               , MS Crane              ,10,64, caught               , ['AD Hales'],
14, DA Miller                    , CJ Jordan             ,10,64, caught               , ['JC Buttler'],
14, F Behardien                  , CJ Jordan             ,10,64, caught               , ['SW Billings'],
14, M Mosehle                    , TK Curran             ,10,64, caught               , ['SW Billings'],
15, CH Gayle                     , LE Plunkett           ,28,64, run out              , ,
15, E Lewis                      , LE Plunkett           ,28,64, caught               , ['JE Root'],
15, MN Samuels                   , LE Plunkett           ,28,64, caught               , ['JE Root'],
15, KA Pollard                   , LE Plunkett           ,28,64, caught               , ['TK Curran'],
15, CAK Walton                   , AU Rashid             ,28,64, caught               , ['DJ Willey'],
15, CR Brathwaite                , AU Rashid             ,28,64, bowled               , ,
15, SP Narine                    , AU Rashid             ,28,64, lbw                  , ,
15, R Powell                     , TK Curran             ,28,64, caught               , ['CJ Jordan'],
15, JE Taylor                    , CJ Jordan             ,28,64, lbw                  , ,
15, JJ Roy                       , JE Taylor             ,64,28, caught               , ['E Lewis'],
15, AD Hales                     , CR Brathwaite         ,64,28, bowled               , ,
15, JE Root                      , AR Nurse              ,64,28, caught               , ['CR Brathwaite'],
15, EJG Morgan                   , SP Narine             ,64,28, caught               , ['E Lewis'],
15, JC Buttler                   , KOK Williams          ,64,28, caught               , ['R Powell'],
15, AU Rashid                    , KOK Williams          ,64,28, caught               , ['CAK Walton'],
15, DJ Willey                    , SP Narine             ,64,28, stumped              , ['CAK Walton'],
15, JM Bairstow                  , CR Brathwaite         ,64,28, caught               , ['JN Mohammed'],
15, CJ Jordan                    , KOK Williams          ,64,28, caught               , ['R Powell'],
15, LE Plunkett                  , CR Brathwaite         ,64,28, bowled               , ,
16, KL Rahul                     , CJ Jordan             ,47,64, caught               , ['AU Rashid'],
16, V Kohli                      , MM Ali                ,47,64, caught               , ['EJG Morgan'],
16, Yuvraj Singh                 , LE Plunkett           ,47,64, caught               , ['AU Rashid'],
16, SK Raina                     , BA Stokes             ,47,64, bowled               , ,
16, MK Pandey                    , MM Ali                ,47,64, lbw                  , ,
16, HH Pandya                    , TS Mills              ,47,64, caught               , ['SW Billings'],
16, Parvez Rasool                , CJ Jordan             ,47,64, run out              ," ""['CJ Jordan'"," 'EJG Morgan']"""
16, JJ Roy                       , YS Chahal             ,64,47, bowled               , ,
16, SW Billings                  , YS Chahal             ,64,47, bowled               , ,
16, EJG Morgan                   , Parvez Rasool         ,64,47, caught               , ['SK Raina'],
17, V Kohli                      , CJ Jordan             ,47,64, caught               , ['LA Dawson'],
17, SK Raina                     , AU Rashid             ,47,64, caught               , ['CJ Jordan'],
17, Yuvraj Singh                 , MM Ali                ,47,64, lbw                  , ,
17, KL Rahul                     , CJ Jordan             ,47,64, caught               , ['BA Stokes'],
17, MK Pandey                    , TS Mills              ,47,64, bowled               , ,
17, HH Pandya                    , CJ Jordan             ,47,64, run out              , ['CJ Jordan'],
17, A Mishra                     , CJ Jordan             ,47,64, run out              ," ""['MM Ali'"," 'CJ Jordan']"""
17, MS Dhoni                     , CJ Jordan             ,47,64, bowled               , ,
17, SW Billings                  , A Nehra               ,64,47, caught               , ['JJ Bumrah'],
17, JJ Roy                       , A Nehra               ,64,47, caught               , ['SK Raina'],
17, EJG Morgan                   , A Mishra              ,64,47, caught               , ['HH Pandya'],
17, BA Stokes                    , A Nehra               ,64,47, lbw                  , ,
17, JE Root                      , JJ Bumrah             ,64,47, lbw                  , ,
17, JC Buttler                   , JJ Bumrah             ,64,47, bowled               , ,
18, V Kohli                      , CJ Jordan             ,47,64, run out              , ['CJ Jordan'],
18, KL Rahul                     , BA Stokes             ,47,64, bowled               , ,
18, SK Raina                     , LE Plunkett           ,47,64, caught               , ['EJG Morgan'],
18, Yuvraj Singh                 , TS Mills              ,47,64, caught               , ['JC Buttler'],
18, MS Dhoni                     , CJ Jordan             ,47,64, caught               , ['AU Rashid'],
18, HH Pandya                    , CJ Jordan             ,47,64, run out              ," ""['BA Stokes'"," 'JC Buttler']"""
18, SW Billings                  , YS Chahal             ,64,47, caught               , ['SK Raina'],
18, JJ Roy                       , A Mishra              ,64,47, caught               , ['MS Dhoni'],
18, EJG Morgan                   , YS Chahal             ,64,47, caught               , ['RR Pant'],
18, JE Root                      , YS Chahal             ,64,47, lbw                  , ,
18, JC Buttler                   , JJ Bumrah             ,64,47, caught               , ['V Kohli'],
18, MM Ali                       , YS Chahal             ,64,47, caught               , ['V Kohli'],
18, BA Stokes                    , YS Chahal             ,64,47, caught               , ['SK Raina'],
18, CJ Jordan                    , YS Chahal             ,64,47, stumped              , ['MS Dhoni'],
18, LE Plunkett                  , JJ Bumrah             ,64,47, bowled               , ,
18, TS Mills                     , JJ Bumrah             ,64,47, caught               , ['V Kohli'],
19, J Charles                    , Mohammed Shami        ,28,47, bowled               , ,
19, AD Russell                   , RA Jadeja             ,28,47, lbw                  , ,
19, E Lewis                      , RA Jadeja             ,28,47, caught               , ['R Ashwin'],
19, CR Brathwaite                , JJ Bumrah             ,28,47, run out              , ['JJ Bumrah'],
19, KA Pollard                   , JJ Bumrah             ,28,47, bowled               , ,
19, LMP Simmons                  , JJ Bumrah             ,28,47, bowled               , ,
19, AM Rahane                    , AD Russell            ,47,28, caught               , ['DJ Bravo'],
19, V Kohli                      , DJ Bravo              ,47,28, caught               , ['ADS Fletcher'],
19, RG Sharma                    , KA Pollard            ,47,28, caught               , ['J Charles'],
19, MS Dhoni                     , DJ Bravo              ,47,28, caught               , ['MN Samuels'],
20, E Lewis                      , Mohammed Shami        ,28,47, caught               , ['A Mishra'],
20, J Charles                    , A Mishra              ,28,47, caught               , ['AM Rahane'],
20, LMP Simmons                  , R Ashwin              ,28,47, stumped              , ['MS Dhoni'],
20, MN Samuels                   , JJ Bumrah             ,28,47, caught               , ['MS Dhoni'],
20, KA Pollard                   , R Ashwin              ,28,47, lbw                  , ,
20, ADS Fletcher                 , JJ Bumrah             ,28,47, bowled               , ,
20, DJ Bravo                     , A Mishra              ,28,47, bowled               , ,
20, AD Russell                   , B Kumar               ,28,47, caught               , ['V Kohli'],
20, CR Brathwaite                , A Mishra              ,28,47, bowled               , ,
20, S Badree                     , Mohammed Shami        ,28,47, bowled               , ,
21, E Lewis                      , Imad Wasim            ,28,80, caught               , ['Mohammad Nawaz (3)'],
21, ADS Fletcher                 , Imad Wasim            ,28,80, bowled               , ,
21, MN Samuels                   , Imad Wasim            ,28,80, lbw                  , ,
21, J Charles                    , Mohammad Nawaz (3)    ,28,80, bowled               , ,
21, N Pooran                     , Hasan Ali             ,28,80, caught               , ['Sarfraz Ahmed'],
21, KA Pollard                   , Imad Wasim            ,28,80, bowled               , ,
21, CR Brathwaite                , Imad Wasim            ,28,80, caught               , ['Khalid Latif'],
21, SP Narine                    , Wahab Riaz            ,28,80, run out              , ['Khalid Latif'],
21, JE Taylor                    , Sohail Tanvir         ,28,80, bowled               , ,
21, DJ Bravo                     , Sohail Tanvir         ,28,80, caught               , ['Umar Akmal'],
21, Sharjeel Khan                , S Badree              ,80,28, bowled               , ,
22, Sharjeel Khan                , S Badree              ,80,28, bowled               , ,
22, Babar Azam                   , CR Brathwaite         ,80,28, caught               , ['KA Pollard'],
22, Khalid Latif                 , SP Narine             ,80,28, run out              ," ""['E Lewis'"," 'ADS Fletcher']"""
22, Shoaib Malik                 , DJ Bravo              ,80,28, caught               , ['KA Pollard'],
22, J Charles                    , Imad Wasim            ,28,80, caught               , ['Umar Akmal'],
22, E Lewis                      , Sohail Tanvir         ,28,80, caught               , ['Sharjeel Khan'],
22, MN Samuels                   , Sohail Tanvir         ,28,80, caught               , ['Sarfraz Ahmed'],
22, DJ Bravo                     , Mohammad Nawaz (3)    ,28,80, bowled               , ,
22, ADS Fletcher                 , Hasan Ali             ,28,80, bowled               , ,
22, KA Pollard                   , Hasan Ali             ,28,80, caught               , ['Sarfraz Ahmed'],
22, N Pooran                     , Sohail Tanvir         ,28,80, caught               , ['Mohammad Nawaz (3)'],
22, CR Brathwaite                , Hasan Ali             ,28,80, caught               , ['Umar Akmal'],
22, SP Narine                    , Wahab Riaz            ,28,80, caught               , ['Umar Akmal'],
23, J Charles                    , Imad Wasim            ,28,80, bowled               , ,
23, CAK Walton                   , Imad Wasim            ,28,80, bowled               , ,
23, ADS Fletcher                 , Mohammad Nawaz (3)    ,28,80, run out              ," ""['Rumman Raees'"," 'Sarfraz Ahmed']"""
23, DJ Bravo                     , Imad Wasim            ,28,80, bowled               , ,
23, N Pooran                     , Mohammad Nawaz (3)    ,28,80, caught               , ['Shoaib Malik'],
23, Sharjeel Khan                , KOK Williams          ,80,28, caught               , ['ADS Fletcher'],
23, Khalid Latif                 , KOK Williams          ,80,28, bowled               , ,
24, C Munro                      , B Stanlake            ,24,14, caught               , ['AT Carey'],
24, MJ Guptill                   , B Stanlake            ,24,14, bowled               , ,
24, TC Bruce                     , B Stanlake            ,24,14, caught               , ['KW Richardson'],
24, KS Williamson                , AJ Tye                ,24,14, caught               , ['DA Warner'],
24, TA Blundell                  , A Zampa               ,24,14, caught               , ['KW Richardson'],
24, LRPL Taylor                  , AC Agar               ,24,14, caught               , ['AT Carey'],
24, MJ Santner                   , AJ Tye                ,24,14, caught               , ['DA Warner'],
24, TG Southee                   , AJ Tye                ,24,14, caught               , ['MP Stoinis'],
24, IS Sodhi                     , AJ Tye                ,24,14, bowled               , ,
24, DJM Short                    , TG Southee            ,14,24, caught               , ['LRPL Taylor'],
24, DA Warner                    , TA Boult              ,14,24, caught               , ['TC Bruce'],
24, CA Lynn                      , TA Boult              ,14,24, caught               , ['IS Sodhi'],
25, JJ Roy                       , KW Richardson         ,64,14, caught               , ['AJ Tye'],
25, AD Hales                     , AC Agar               ,64,14, caught and bowled    , ,
25, EJG Morgan                   , GJ Maxwell            ,64,14, caught               , ['DA Warner'],
25, JC Buttler                   , MP Stoinis            ,64,14, caught               , ['GJ Maxwell'],
25, SW Billings                  , AC Agar               ,64,14, caught and bowled    , ,
25, DJ Malan                     , GJ Maxwell            ,64,14, caught               , ['AJ Tye'],
25, DJ Willey                    , GJ Maxwell            ,64,14, stumped              , ['AT Carey'],
25, AU Rashid                    , B Stanlake            ,64,14, caught               , ['MP Stoinis'],
25, TK Curran                    , AJ Tye                ,64,14, caught               , ['DA Warner'],
25, DA Warner                    , DJ Willey             ,14,64, caught               , ['AD Hales'],
25, CA Lynn                      , DJ Willey             ,14,64, bowled               , ,
25, DJM Short                    , AU Rashid             ,14,64, caught and bowled    , ,
25, MP Stoinis                   , MA Wood               ,14,64, caught               , ['SW Billings'],
25, TM Head                      , DJ Willey             ,14,64, bowled               , ,
26, AD Hales                     , B Stanlake            ,64,14, caught               , ['AJ Finch'],
26, JJ Roy                       , KW Richardson         ,64,14, caught               , ['AT Carey'],
26, DJ Malan                     , B Stanlake            ,64,14, run out              , ,
26, JM Vince                     , AJ Tye                ,64,14, bowled               , ,
26, SW Billings                  , B Stanlake            ,64,14, caught               , ['DA Warner'],
26, DJ Willey                    , KW Richardson         ,64,14, caught               , ['DA Warner'],
26, JC Buttler                   , KW Richardson         ,64,14, caught               , ['AC Agar'],
26, DA Warner                    , DJ Willey             ,14,64, caught               , ['JC Buttler'],
26, CA Lynn                      , CJ Jordan             ,14,64, caught               , ['JC Buttler'],
26, GJ Maxwell                   , CJ Jordan             ,14,64, caught               , ['JC Buttler'],
27, C Munro                      , MA Wood               ,24,64, caught               , ['SW Billings'],
27, MJ Guptill                   , AU Rashid             ,24,64, caught               , ['LE Plunkett'],
27, C de Grandhomme              , AU Rashid             ,24,64, caught               , ['CJ Jordan'],
27, KS Williamson                , CJ Jordan             ,24,64, bowled               , ,
27, MS Chapman                   , MA Wood               ,24,64, caught               , ['SW Billings'],
27, JJ Roy                       , TG Southee            ,64,24, caught               , ['TA Boult'],
27, AD Hales                     , IS Sodhi              ,64,24, caught               , ['C de Grandhomme'],
27, JM Vince                     , C de Grandhomme       ,64,24, run out              , ,
27, JC Buttler                   , IS Sodhi              ,64,24, caught               , ['TG Southee'],
27, SW Billings                  , MJ Santner            ,64,24, caught               , ['IS Sodhi'],
27, DJ Malan                     , MJ Santner            ,64,24, caught               , ['TA Boult'],
27, CJ Jordan                    , TA Boult              ,64,24, bowled               , ,
27, LE Plunkett                  , TA Boult              ,64,24, bowled               , ,
27, DJ Willey                    , TG Southee            ,64,24, run out              , ,
28, C Munro                      , AJ Tye                ,24,14, caught               , ['GJ Maxwell'],
28, TL Seifert                   , AC Agar               ,24,14, caught               , ['AJ Finch'],
28, MJ Guptill                   , AJ Tye                ,24,14, caught               , ['GJ Maxwell'],
28, MS Chapman                   , B Stanlake            ,24,14, hit wicket           , ,
28, C de Grandhomme              , KW Richardson         ,24,14, bowled               , ,
28, KS Williamson                , KW Richardson         ,24,14, caught               , ['AJ Tye'],
28, DA Warner                    , IS Sodhi              ,14,24, bowled               , ,
28, CA Lynn                      , C de Grandhomme       ,14,24, caught               , ['MJ Guptill'],
28, GJ Maxwell                   , TG Southee            ,14,24, bowled               , ,
28, DJM Short                    , TA Boult              ,14,24, caught               , ['TL Seifert'],
28, MP Stoinis                   , C de Grandhomme       ,14,24, run out              , ,
29, AD Hales                     , TG Southee            ,64,24, caught               , ['KS Williamson'],
29, JJ Roy                       , TA Boult              ,64,24, caught               , ['KS Williamson'],
29, DJ Malan                     , C de Grandhomme       ,64,24, caught               , ['MS Chapman'],
29, JC Buttler                   , IS Sodhi              ,64,24, stumped              , ['TL Seifert'],
29, SW Billings                  , TA Boult              ,64,24, bowled               , ,
29, DJ Willey                    , TG Southee            ,64,24, caught               , ['MJ Guptill'],
29, LA Dawson                    , TA Boult              ,64,24, caught               , ['MJ Guptill'],
