match_id,match_name,match_type,city,venue_id,venue,date,team_1,team_2,toss_winner,toss_decision,winner,result,player_of_match
33,Desert T20 Challenge,T20,,18,Abu Dhabi,2017-01-16,54,42,42,field,Oman,by 7 wickets,235
34,Desert T20 Challenge,T20,,18,Abu Dhabi,2017-01-17,62,49,62,field,Scotland,by 7 runs,213
35,Desert T20 Challenge,T20,,17,,2017-01-18,19,11,11,bat,Ireland,by 24 runs,244
36,Desert T20 Challenge,T20,,17,,2017-01-18,54,62,54,bat,Hong Kong,by 91 runs,30
37,Desert T20 Challenge,T20,,17,,2017-01-19,42,49,42,bat,Scotland,by 7 wickets,211
38,Desert T20 Challenge,T20,,17,,2017-01-20,11,49,49,field,Ireland,by 98 runs,242
39,Bangladesh tour of South Africa,T20,,23,Bloemfontein,2017-10-26,10,66,10,bat,South Africa,by 20 runs,109
40,Bangladesh tour of South Africa,T20,,24,Potchefstroom,2017-10-29,10,66,66,field,South Africa,by 83 runs,130
41,Pakistan in West Indies T20I Series,T20,,25,Barbados,2017-03-26,28,80,80,field,Pakistan,by 6 wickets,269
42,Pakistan in West Indies T20I Series,T20,,26,Trinidad,2017-03-30,28,80,28,field,Pakistan,by 3 runs,269
43,Bangladesh in Sri Lanka T20I Series,T20,,27,Colombo,2017-04-04,4,66,66,bat,Sri Lanka,by 6 wickets,272
44,Bangladesh in Sri Lanka T20I Series,T20,,27,Colombo,2017-04-06,4,66,66,bat,Bangladesh,by 45 runs,80
45,Pakistan in West Indies T20I Series,T20,,26,Trinidad,2017-04-01,28,80,80,bat,West Indies,by 7 wickets,140
46,Pakistan in West Indies T20I Series,T20,,26,Trinidad,2017-04-02,28,80,80,field,Pakistan,by 7 wickets,186
47,Papua New Guinea in United Arab Emirates T20I Series,T20,,18,Abu Dhabi,2017-04-12,19,9,19,field,United Arab Emirates,by 5 wickets,0
48,Papua New Guinea in United Arab Emirates T20I Series,T20,,18,Abu Dhabi,2017-04-14,19,9,9,field,United Arab Emirates,by 30 runs,0
49,Papua New Guinea in United Arab Emirates T20I Series,T20,,18,Abu Dhabi,2017-04-14,19,9,9,bat,United Arab Emirates,by 5 wickets,0
50,,T20,,28,Jamaica,2017-07-09,28,47,28,field,West Indies,by 9 wickets,140
51,India tour of Sri Lanka,T20,,29,Colombo,2017-09-06,4,47,47,field,India,by 7 wickets,155
52,West Indies tour of New Zealand,T20,,30,Nelson,2017-12-29,24,28,28,field,New Zealand,by 47 runs,104
53,West Indies tour of New Zealand,T20,,7,Mount Maunganui,2018-01-01,24,28,28,field,,no result,0
54,West Indies tour of New Zealand,T20,,7,Mount Maunganui,2018-01-03,24,28,24,bat,New Zealand,by 119 runs,90
55,Pakistan tour of New Zealand,T20,,21,Wellington,2018-01-22,80,24,24,field,New Zealand,by 7 wickets,90
56,Pakistan tour of New Zealand,T20,,8,Auckland,2018-01-25,80,24,80,bat,Pakistan,by 48 runs,271
57,Pakistan tour of New Zealand,T20,,7,Mount Maunganui,2018-01-28,80,24,80,bat,Pakistan,by 18 runs,269
58,Independence Cup,T20,,31,Lahore,2017-09-12,80,31,31,field,Pakistan,by 20 runs,178
59,Independence Cup,T20,,31,Lahore,2017-09-13,80,31,80,bat,ICC World XI,by 7 wickets,273
60,Independence Cup,T20,,31,Lahore,2017-09-15,80,31,31,field,Pakistan,by 33 runs,267
61,Australia tour of India,T20,,32,Ranchi,2017-10-07,14,47,47,field,India,by 9 wickets,294
62,Australia tour of India,T20,,33,Guwahati,2017-10-10,47,14,14,field,Australia,by 8 wickets,328
63,Australia tour of England,T20,,34,Birmingham,2018-06-27,64,14,14,field,England,by 28 runs,151
64,India tour of Ireland and England,T20,,35,Manchester,2018-07-03,64,47,47,field,India,by 8 wickets,294
65,India tour of Ireland and England,T20,,11,Cardiff,2018-07-06,47,64,64,field,England,by 5 wickets,118
66,India tour of Ireland and England,T20,,10,Bristol,2018-07-08,64,47,47,field,India,by 7 wickets,163
67,New Zealand tour of India,T20,,36,Delhi,2017-11-01,47,24,24,field,India,by 53 runs,292
68,New Zealand tour of India,T20,,37,Rajkot,2017-11-04,24,47,24,bat,New Zealand,by 40 runs,90
69,New Zealand tour of India,T20,,38,Thiruvananthapuram,2017-11-07,47,24,24,field,India,by 6 runs,57
70,Sri Lanka tour of United Arab Emirates and Pakistan,T20,,18,Abu Dhabi,2017-10-26,4,80,80,field,Pakistan,by 7 wickets,322
71,Sri Lanka tour of United Arab Emirates and Pakistan,T20,,18,Abu Dhabi,2017-10-27,4,80,80,field,Pakistan,by 2 wickets,269
72,Sri Lanka tour of United Arab Emirates and Pakistan,T20,,31,Lahore,2017-10-29,80,4,4,field,Pakistan,by 36 runs,179
73,India tour of South Africa,T20,,39,Johannesburg,2018-02-18,47,10,10,field,India,by 28 runs,169
74,India tour of South Africa,T20,,40,Centurion,2018-02-21,47,10,10,field,South Africa,by 6 wickets,344
75,India tour of South Africa,T20,,41,Cape Town,2018-02-24,47,10,10,field,India,by 7 runs,156
76,Sri Lanka tour of India,T20,,42,Cuttack,2017-12-20,47,4,4,field,India,by 93 runs,59
77,Sri Lanka tour of India,T20,,43,Indore,2017-12-22,47,4,4,field,India,by 88 runs,163
78,Sri Lanka tour of India,T20,,44,Mumbai,2017-12-24,4,47,47,field,India,by 5 wickets,58
79,"""Pakistan tour of Ireland,England and Scotland""",T20,,45,Edinburgh,2018-06-12,80,49,80,bat,Pakistan,by 48 runs,181
80,"""Pakistan tour of Ireland,England and Scotland""",T20,,45,Edinburgh,2018-06-13,80,49,80,bat,Pakistan,by 84 runs,322
81,Sri Lanka tour of Bangladesh,T20,,46,Dhaka,2018-02-15,66,4,66,bat,Sri Lanka,by 6 wickets,25
82,Sri Lanka tour of Bangladesh,T20,,47,,2018-02-18,4,66,66,field,Sri Lanka,by 75 runs,25
83,Nidahas Trophy,T20,,29,Colombo,2018-03-06,47,4,4,field,Sri Lanka,by 5 wickets,272
84,Nidahas Trophy,T20,,29,Colombo,2018-03-08,66,47,47,field,India,by 6 wickets,368
85,Nidahas Trophy,T20,,29,Colombo,2018-03-10,4,66,66,field,Bangladesh,by 5 wickets,261
86,Nidahas Trophy,T20,,29,Colombo,2018-03-12,4,47,47,field,India,by 6 wickets,346
87,Nidahas Trophy,T20,,29,Colombo,2018-03-14,47,66,66,field,India,by 17 runs,163
88,Nidahas Trophy,T20,,29,Colombo,2018-03-16,4,66,66,field,Bangladesh,by 2 wickets,82
89,Nidahas Trophy,T20,,29,Colombo,2018-03-18,66,47,47,field,India,by 4 wickets,293
90,West Indies tour of Pakistan,T20,,48,Karachi,2018-04-01,80,28,28,field,Pakistan,by 143 runs,352
91,West Indies tour of Pakistan,T20,,48,Karachi,2018-04-02,80,28,80,bat,Pakistan,by 82 runs,178
92,West Indies tour of Pakistan,T20,,48,Karachi,2018-04-03,28,80,28,bat,Pakistan,by 8 wickets,271
93,England tour of Sri Lanka,T20,,29,Colombo,2018-10-27,64,4,4,field,England,by 30 runs,377
94,India tour of Ireland and England,T20,,49,Dublin,2018-06-27,47,11,11,field,India,by 76 runs,294
95,India tour of Ireland and England,T20,,49,Dublin,2018-06-29,47,11,11,field,India,by 143 runs,49
96,ICC World XI tour of England,T20,,50,London,2018-05-31,28,31,31,field,West Indies,by 72 runs,140
97,Marylebone Cricket Club Tri-Nation T20 Series,T20,,50,London,2018-07-29,62,34,34,field,,no result,0
98,Netherlands Tri-Nation T20I Series,T20,,51,Rotterdam,2018-06-12,62,11,11,field,Netherlands,by 4 runs,0
99,Netherlands Tri-Nation T20I Series,T20,,51,Rotterdam,2018-06-13,11,62,11,bat,Netherlands,by 4 wickets,0
100,Netherlands Tri-Nation T20I Series,T20,,52,Deventer,2018-06-16,11,49,11,bat,Ireland,by 46 runs,0
101,Netherlands Tri-Nation T20I Series,T20,,52,Deventer,2018-06-17,49,11,49,bat,"tie,0",,
102,Netherlands Tri-Nation T20I Series,T20,,53,Amstelveen,2018-06-19,62,49,62,bat,Scotland,by 7 wickets,0
103,Netherlands Tri-Nation T20I Series,T20,,53,Amstelveen,2018-06-20,49,62,49,bat,Scotland,by 115 runs,0
104,South Africa tour of Sri Lanka,T20,,29,Colombo,2018-08-14,10,4,10,bat,Sri Lanka,by 3 wickets,378
105,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-01,80,82,82,field,Pakistan,by 74 runs,353
106,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-02,80,14,14,field,Australia,by 9 wickets,10
107,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-03,14,82,82,field,Australia,by 100 runs,1
108,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-04,82,80,80,field,Pakistan,by 7 wickets,417
109,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-05,80,14,14,field,Pakistan,by 45 runs,271
110,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-06,82,14,82,bat,Australia,by 5 wickets,11
111,Zimbabwe Twenty20 Tri-Series,T20,,5,,2018-07-08,14,80,14,bat,Pakistan,by 6 wickets,271
112,Zimbabwe tour of South Africa,T20,,54,East London,2018-10-09,10,82,10,bat,South Africa,by 34 runs,115
113,Zimbabwe tour of South Africa,T20,,24,Potchefstroom,2018-10-12,82,10,82,bat,South Africa,by 6 wickets,116
114,Pakistan tour of South Africa,T20,,41,Cape Town,2019-02-01,10,80,80,field,South Africa,by 6 runs,130
115,Pakistan tour of South Africa,T20,,39,Johannesburg,2019-02-03,10,80,80,field,South Africa,by 7 runs,130
116,Pakistan tour of South Africa,T20,,40,Centurion,2019-02-06,10,80,10,field,Pakistan,by 27 runs,269
117,Sri Lanka tour of South Africa,T20,,41,Cape Town,2019-03-19,10,4,10,field,"tie,130",,
118,Sri Lanka tour of South Africa,T20,,40,Centurion,2019-03-22,10,4,4,field,South Africa,by 16 runs,432
119,Sri Lanka tour of South Africa,T20,,39,Johannesburg,2019-03-24,10,4,4,field,South Africa,by 45 runs,132
120,South Africa tour of Australia,T20,,55,,2018-11-17,10,14,14,field,South Africa,by 21 runs,133
121,India tour of Australia,T20,,56,Brisbane,2018-11-21,14,47,47,field,Australia,by 4 runs,9
122,India tour of Australia,T20,,1,,2018-11-23,14,47,47,field,,no result,0
123,India tour of Australia,T20,,19,,2018-11-25,14,47,14,bat,India,by 6 wickets,445
124,Bangladesh tour of West Indies and United States of America,T20,,57,St Kitts,2018-07-31,66,28,28,field,West Indies,by 7 wickets,171
125,Bangladesh tour of West Indies and United States of America,T20,,16,Lauderhill,2018-08-04,66,28,28,field,Bangladesh,by 12 runs,77
126,Bangladesh tour of West Indies and United States of America,T20,,16,Lauderhill,2018-08-05,66,28,66,bat,Bangladesh,by 19 runs,265
127,Pakistan tour of England,T20,,11,Cardiff,2019-05-05,64,80,80,bat,England,by 7 wickets,120
128,West Indies tour of Bangladesh,T20,,47,Sylhet,2018-12-17,66,28,66,bat,West Indies,by 8 wickets,304
129,West Indies tour of Bangladesh,T20,,46,Dhaka,2018-12-20,66,28,28,field,Bangladesh,by 36 runs,80
130,West Indies tour of Bangladesh,T20,,46,Dhaka,2018-12-22,66,28,66,field,West Indies,by 50 runs,140
131,India tour of New Zealand,T20,,21,Wellington,2019-02-06,24,47,47,field,New Zealand,by 80 runs,202
132,India tour of New Zealand,T20,,8,Auckland,2019-02-08,24,47,24,bat,India,by 7 wickets,445
133,India tour of New Zealand,T20,,22,Hamilton,2019-02-10,24,47,47,field,New Zealand,by 4 runs,90
134,Sri Lanka tour of New Zealand,T20,,8,Auckland,2019-01-11,24,4,4,field,New Zealand,by 35 runs,300
135,Australia tour of United Arab Emirates,T20,,18,Abu Dhabi,2018-10-24,80,14,14,field,Pakistan,by 66 runs,183
136,Australia tour of United Arab Emirates,T20,,17,,2018-10-26,80,14,80,bat,Pakistan,by 11 runs,183
137,Australia tour of United Arab Emirates,T20,,17,,2018-10-28,80,14,80,bat,Pakistan,by 33 runs,269
138,New Zealand tour of United Arab Emirates,T20,,18,Abu Dhabi,2018-10-31,80,24,80,bat,Pakistan,by 2 runs,268
139,New Zealand tour of United Arab Emirates,T20,,17,,2018-11-02,24,80,24,bat,Pakistan,by 6 wickets,376
140,New Zealand tour of United Arab Emirates,T20,,17,,2018-11-04,80,24,80,bat,Pakistan,by 47 runs,178
141,West Indies tour of India,T20,,58,Kolkata,2018-11-04,28,47,47,field,India,by 5 wickets,294
142,West Indies tour of India,T20,,59,Lucknow,2018-11-06,47,28,28,field,India,by 71 runs,163
143,West Indies tour of India,T20,,60,Chennai,2018-11-11,28,47,28,bat,India,by 6 wickets,292
144,England tour of West Indies,T20,,61,Gros Islet,2019-03-05,28,64,64,field,England,by 4 wickets,119
145,England tour of West Indies,T20,,62,Basseterre,2019-03-08,28,64,28,field,England,by 137 runs,122
146,England tour of West Indies,T20,,62,Basseterre,2019-03-10,28,64,28,bat,England,by 8 wickets,125
147,Australia tour of United Arab Emirates,T20,,63,Abu Dhabi,2018-10-22,19,14,19,bat,Australia,by 7 wickets,193
148,Australia tour of India,T20,,64,Visakhapatnam,2019-02-24,47,14,14,field,Australia,by 3 wickets,327
150,Zimbabwe tour of Netherlands and Ireland,T20,,4,Bready,2019-07-12,11,82,11,field,Ireland,by 9 wickets,0
151,Ireland v Zimbabwe,T20,,65,Derry,2019-07-14,11,82,82,field,Zimbabwe,by 8 wickets,0
152,Nepal tour of United Arab Emirates,T20,,66,Dubai,2019-01-31,19,34,34,field,United Arab Emirates,by 21 runs,247
153,Nepal tour of United Arab Emirates,T20,,66,Dubai,2019-02-01,19,34,19,bat,Nepal,by 4 wickets,402
154,Nepal tour of United Arab Emirates,T20,,66,Dubai,2019-02-03,19,34,19,field,Nepal,by 14 runs,405
155,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-13,62,49,62,field,Netherlands,by 7 wickets,239
156,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-13,42,11,42,field,Ireland,by 15 runs,240
157,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-15,42,62,62,field,Netherlands,by 8 wickets,220
158,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-15,11,49,49,field,Scotland,by 6 wickets,206
159,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-17,11,62,11,field,Ireland,by 1 wickets,380
160,Oman Quadrangular T20I Series,T20,,67,Al Amarat,2019-02-17,42,49,49,field,Scotland,by 7 wickets,495
161,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-22,9,25,25,field,Papua New Guinea,by 133 runs,278
162,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-22,9,95,95,bat,Papua New Guinea,by 8 wickets,275
163,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-23,25,95,95,bat,Vanuatu,by 63 runs,0
164,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-23,9,25,9,bat,,no result,0
165,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-24,25,95,95,field,Philippines,by 10 runs,507
166,ICC World Twenty20 East Asia-Pacific Region Final,T20,,68,Port Moresby,2019-03-24,9,95,95,bat,Papua New Guinea,by 10 wickets,277
167,United States of America tour of United Arab Emirates,T20,,66,Dubai,2019-03-15,19,17,19,field,,no result,0
168,United States of America tour of United Arab Emirates,T20,,66,Dubai,2019-03-16,19,17,19,bat,United Arab Emirates,by 24 runs,247
169,Germany tour of Netherlands,T20,,69,Utrecht,2019-05-25,53,99,99,field,Italy,by 6 wickets,0
170,Sri Lanka tour of Australia,T20,,3,Adelaide,2019-10-27,14,4,4,field,Australia,by 134 runs,192
171,Sri Lanka tour of Australia,T20,,56,Brisbane,2019-10-30,14,4,4,bat,Australia,by 9 wickets,192
172,Sri Lanka tour of Australia,T20,,1,Melbourne,2019-11-01,14,4,14,field,Australia,by 7 wickets,192
173,Pakistan tour of Australia,T20,,19,Sydney,2019-11-03,14,80,14,field,,no result,0
174,Pakistan tour of Australia,T20,,70,Canberra,2019-11-05,14,80,80,bat,Australia,by 7 wickets,562
175,Pakistan tour of Australia,T20,,71,Perth,2019-11-08,14,80,14,field,Australia,by 10 wickets,571
176,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-20,89,61,61,field,Namibia,by 9 wickets,583
177,ICC Men's T20 World Cup Africa Region Final,T20,,73,Kampala,2019-05-20,43,7,7,field,Uganda,by 52 runs,597
178,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-21,89,59,89,field,Kenya,by 53 runs,620
179,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-21,43,61,61,bat,Namibia,by 42 runs,590
180,ICC Men's T20 World Cup Africa Region Final,T20,,73,Kampala,2019-05-21,7,21,21,bat,Nigeria,by 11 runs,631
181,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-23,43,89,89,bat,Uganda,by 7 wickets,599
182,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-22,89,21,89,field,Nigeria,by 28 runs,636
183,ICC Men's T20 World Cup Africa Region Final,T20,,72,Kampala,2019-05-22,7,61,7,bat,Namibia,by 10 wickets,585
184,ICC Men's T20 World Cup Africa Region Final,T20,,73,Kampala,2019-05-22,43,59,59,bat,Kenya,by 1 runs,620
185,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-15,76,53,53,field,Germany,by 5 wickets,0
186,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-17,85,70,85,bat,Denmark,by 46 runs,671
187,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-16,85,100,85,field,Jersey,by 18 runs,0
188,ICC Men's T20 World Cup Europe Region Final,T20,,75,St Peter Port,2019-06-16,76,99,76,field,Italy,by 11 runs,0
189,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-16,100,70,100,bat,Jersey,by 80 runs,685
190,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-18,76,85,76,field,,no result,0
191,ICC Men's T20 World Cup Europe Region Final,T20,,75,St Peter Port,2019-06-20,53,70,53,field,Germany,by 7 wickets,658
192,ICC Men's T20 World Cup Europe Region Final,T20,,75,St Peter Port,2019-06-20,53,100,53,field,Germany,by 3 wickets,689
193,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-19,76,70,76,field,Guernsey,by 4 wickets,0
194,ICC Men's T20 World Cup Europe Region Final,T20,,75,St Peter Port,2019-06-19,99,100,99,field,Jersey,by 73 runs,0
195,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-19,85,53,53,field,Germany,by 7 wickets,0
196,England tour of South Africa,T20,,54,East London,2020-02-12,10,64,64,field,South Africa,by 1 runs,415
197,England tour of South Africa,T20,,76,Durban,2020-02-14,10,64,10,field,England,by 2 runs,153
198,England tour of South Africa,T20,,40,Centurion,2020-02-16,10,64,10,bat,England,by 5 wickets,120
199,Australia tour of South Africa,T20,,39,Johannesburg,2020-02-21,10,14,10,field,Australia,by 107 runs,198
200,Australia tour of South Africa,T20,,77,Port Elizabeth,2020-02-23,10,14,10,bat,South Africa,by 12 runs,107
201,Australia tour of South Africa,T20,,41,Cape Town,2020-02-26,10,14,10,field,Australia,by 97 runs,447
202,Malaysia Tri-Nation T20I Series,T20,,78,Kuala Lumpur,2019-06-24,63,40,63,field,Malaysia,by 5 wickets,727
203,Malaysia Tri-Nation T20I Series,T20,,78,Kuala Lumpur,2019-06-26,71,40,40,bat,Maldives,by 2 wickets,740
204,Malaysia Tri-Nation T20I Series,T20,,78,Kuala Lumpur,2019-06-27,63,40,40,bat,Malaysia,by 8 wickets,748
205,Malaysia Tri-Nation T20I Series,T20,,78,Kuala Lumpur,2019-06-28,63,71,63,bat,,no result,0
206,Malaysia Tri-Nation T20I Series,T20,,78,Kuala Lumpur,2019-06-29,71,40,40,field,Thailand,by 5 wickets,715
207,South Africa tour of India,T20,,79,Chandigarh,2019-09-18,47,10,47,field,India,by 7 wickets,155
209,Bangladesh tour of India,T20,,36,Delhi,2019-11-03,47,66,66,field,Bangladesh,by 7 wickets,261
210,Bangladesh tour of India,T20,,37,Rajkot,2019-11-07,47,66,47,field,India,by 8 wickets,163
211,Bangladesh tour of India,T20,,14,Nagpur,2019-11-10,47,66,66,field,India,by 30 runs,332
212,West Indies tour of India,T20,,80,Hyderabad,2019-12-06,47,28,47,field,India,by 6 wickets,155
213,West Indies tour of India,T20,,38,Thiruvananthapuram,2019-12-08,47,28,28,field,West Indies,by 8 wickets,173
214,West Indies tour of India,T20,,44,Mumbai,2019-12-11,47,28,28,field,India,by 67 runs,49
215,England tour of New Zealand,T20,,81,Christchurch,2019-11-01,24,64,64,field,England,by 7 wickets,200
216,England tour of New Zealand,T20,,21,Wellington,2019-11-03,24,64,64,field,New Zealand,by 21 runs,95
217,England tour of New Zealand,T20,,30,Nelson,2019-11-05,24,64,24,bat,New Zealand,by 14 runs,93
218,England tour of New Zealand,T20,,6,Napier,2019-11-08,24,64,24,field,England,by 76 runs,138
219,England tour of New Zealand,T20,,8,Auckland,2019-11-10,24,64,64,field,"tie,119",,
220,India tour of New Zealand,T20,,8,Auckland,2020-01-24,24,47,47,field,India,by 6 wickets,334
221,India tour of New Zealand,T20,,8,Auckland,2020-01-26,24,47,24,bat,India,by 7 wickets,49
222,India tour of New Zealand,T20,,22,Hamilton,2020-01-29,24,47,24,field,"tie,163",,
223,India tour of New Zealand,T20,,21,Wellington,2020-01-31,24,47,24,field,"tie,346",,
224,India tour of New Zealand,T20,,7,Mount Maunganui,2020-02-02,24,47,47,bat,India,by 7 runs,57
225,Zimbabwe tour of Netherlands and Ireland,T20,,51,Rotterdam,2019-06-23,62,82,82,field,Netherlands,by 49 runs,0
226,Zimbabwe tour of Netherlands and Ireland,T20,,51,Rotterdam,2019-06-25,62,82,62,bat,"tie,0",,
227,India tour of United States of America and West Indies,T20,,16,Lauderhill,2019-08-03,47,28,47,field,India,by 4 wickets,750
228,India tour of United States of America and West Indies,T20,,16,Lauderhill,2019-08-04,47,28,47,bat,India,by 22 runs,445
229,India tour of United States of America and West Indies,T20,,82,Providence,2019-08-06,28,47,47,field,India,by 7 wickets,332
230,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-20,76,85,85,field,Guernsey,by 6 runs,661
231,ICC Men's T20 World Cup Europe Region Final,T20,,74,Castel,2019-06-20,85,99,85,bat,Denmark,by 30 runs,668
232,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-22,90,51,90,bat,Singapore,by 33 runs,774
233,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-22,46,63,63,bat,Malaysia,by 42 runs,728
234,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-23,34,51,34,bat,Qatar,by 4 wickets,780
235,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-24,63,34,34,field,Nepal,by 7 wickets,399
236,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-26,46,51,51,field,Kuwait,by 10 runs,794
237,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-26,90,63,63,bat,Singapore,by 8 wickets,770
238,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-27,46,34,34,field,Nepal,by 7 wickets,400
239,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-27,63,51,63,bat,Qatar,by 4 wickets,785
240,ICC Men's T20 World Cup Asia Region Final,T20,,83,Singapore,2019-07-28,90,34,90,bat,Singapore,by 82 runs,771
241,United Arab Emirates tour of Netherlands,T20,,53,Amstelveen,2019-08-05,62,19,19,field,United Arab Emirates,by 5 wickets,0
242,United Arab Emirates tour of Netherlands,T20,,84,The Hague,2019-08-08,62,19,62,bat,United Arab Emirates,by 7 wickets,0
